Week,CalendarDate,PlayerName,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextTrainingSession
20,2019-10-19T00:00:00Z,Athlete AB,4666.24,20.93,487.59,8.5,106.95,104.56,1519.76,0.44,3.26,6.05,2441.654,13.302,193.716,7.52,29.474,52.04,853.818,0.368,3.566,6.194,0
21,2019-10-27T00:00:00Z,Athlete AB,4686.84,14.76,291.24,8.58,48.53,120.69,1781.08,0.46,3.8,6.9,3190.049333,13.788,226.224,7.873333333,35.826,74.92333333,1162.905333,0.398666667,3.644,6.429333333,0
22,2019-11-02T00:00:00Z,Athlete AB,2684.75,8.38,194.9,8.18,28.49,62.36,940.5,0.22,3.5,5,3021.616222,11.98533333,215.7826667,7.975555556,33.38066667,70.73555556,1088.770222,0.339111111,3.596,5.952888889,0
24,2019-11-17T00:00:00Z,Athlete AB,3269.73,17.84,308.02,8.26,81.94,71.7,1152.75,0.43,3.53,7.27,3104.320815,13.93688889,246.5284444,8.07037037,49.56711111,71.05703704,1110.096815,0.369407407,3.574,6.391925926,0
26,2019-11-26T00:00:00Z,Athlete AB,6786.02,6.23,150.37,8.09,38.2,222.88,2649.79,0.4,3.9,5.57,4331.553877,11.36792593,214.4756296,8.07691358,45.77807407,121.6646914,1623.327877,0.379604938,3.682666667,6.117950617,0
26,2019-11-25T00:00:00Z,Athlete AB,4712.5,14.68,239.72,8.26,23.93,97.2,1654.42,0.45,3.51,8.89,4458.535918,12.47195062,222.8904198,8.137942387,38.49538272,113.5097942,1633.691918,0.403069959,3.625111111,7.041967078,0
26,2019-11-30T00:00:00Z,Athlete AB,2684.75,8.38,194.9,8.18,28.49,62.36,940.5,0.22,3.5,5,3867.273945,11.10796708,213.5602798,8.151961591,35.16025514,96.45986283,1402.627945,0.342046639,3.583407407,6.361311385,0
26,2019-11-28T00:00:00Z,Athlete AB,3613.39,9.64,231.26,8.59,68.41,75.76,1172.32,0.26,3.24,6,3782.645963,10.61864472,219.4601866,8.297974394,46.24350343,89.55990855,1325.85863,0.314697759,3.468938272,6.240874257,0
27,2019-12-07T00:00:00Z,Athlete AB,4910.54,17.33,345.6,8.71,87.54,112.99,1650.56,0.48,3.36,6.85,4158.610642,12.85576315,261.506791,8.435316263,60.00900229,97.36993903,1434.09242,0.369798506,3.432625514,6.443916171,0
28,2019-12-14T00:00:00Z,Athlete AB,5658.16,16.61,299.12,8.42,47.22,103.11,1929.42,0.48,3.41,7.55,4658.460428,14.10717543,274.0445274,8.430210842,55.74600152,99.28329269,1599.201613,0.406532338,3.425083676,6.812610781,0
29,2019-12-21T00:00:00Z,Athlete AB,3177.41,21.13,336.61,8.21,88.61,89.4,1142.64,0.43,3.6,8.15,4164.776952,16.44811695,294.8996849,8.356807228,66.70066768,95.98886179,1447.014409,0.414354892,3.483389118,7.258407187,0
31,2020-01-03T00:00:00Z,Athlete AB,5090.34,2.23,0,5.02,0,6.52,1191.16,0.32,2.34,4,4473.297968,11.70874464,196.5997899,7.244538152,44.46711179,66.16590786,1361.729606,0.382903261,3.102259412,6.172271458,0
32,2020-01-06T00:00:00Z,Athlete AB,4133.19,11.96,169.73,6.91,0,94.67,1386.25,0.35,3.35,9.08,4359.928645,11.79249642,187.6431933,7.133025435,29.64474119,75.66727191,1369.903071,0.371935507,3.184839608,7.141514305,0
32,2020-01-11T00:00:00Z,Athlete AB,2625.8,16.55,144.03,6.83,0,29.4,914.99,0.44,3.48,7,3781.885764,13.37833095,173.1054622,7.032016956,19.76316079,60.24484794,1218.26538,0.394623672,3.283226405,7.09434287,0
33,2020-01-18T00:00:00Z,Athlete AB,2459.07,21.29,223.73,8.32,23.87,83.19,912.45,0.5,3.71,5.91,3340.947176,16.01555397,189.9803081,7.461344638,21.1321072,67.89323196,1116.32692,0.429749114,3.42548427,6.699561914,0
34,2020-01-25T00:00:00Z,Athlete AB,5411.28,19.95,420.4,7.78,19.77,119.79,1827.4,0.45,3.38,7.8,4031.058117,17.32703598,266.7868721,7.567563092,20.67807146,85.19215464,1353.35128,0.43649941,3.410322847,7.066374609,0
35,2020-01-27T00:00:00Z,Athlete AB,3960.25,24.08,272.01,7.45,23.71,106.78,1333.62,0.57,3.37,6.95,4007.455411,19.57802398,268.5279147,7.528375394,21.68871431,92.38810309,1346.774187,0.480999606,3.396881898,7.027583073,0
35,2020-01-28T00:00:00Z,Athlete AB,6111.17,9.58,188.76,9.26,66.3,161.53,2260.35,0.41,3.7,4.97,4708.693608,16.24534932,241.9386098,8.105583596,36.55914287,115.4354021,1651.299458,0.457333071,3.497921265,6.341722048,0
35,2020-02-01T00:00:00Z,Athlete AB,938.1,33.18,0,5.23,0,33.75,358.14,0.61,3.82,5.4,3451.829072,21.89023288,161.2924065,7.147055731,24.37276192,88.20693471,1220.246305,0.508222047,3.605280843,6.027814699,0
35,2020-01-30T00:00:00Z,Athlete AB,4740.35,20.35,477.46,8.21,167.53,134.57,1438.17,0.38,3.03,6.17,3881.336048,21.37682192,266.6816044,7.501370487,72.09184128,103.6612898,1292.887537,0.465481365,3.413520562,6.075209799,0
36,2020-02-07T00:00:00Z,Athlete AB,2494.95,30.52,279.98,7.99,39.52,148.54,943.75,0.53,3.78,12.38,3419.207365,24.42454795,271.1144029,7.664246992,61.23456085,118.6208599,1176.508358,0.486987577,3.535680375,8.176806533,0
36,2020-02-03T00:00:00Z,Athlete AB,3596.21,12.61,221,7.64,22.59,76.1,1231.09,0.41,3.42,11.4,3478.208243,20.4863653,254.4096019,7.656164661,48.35304057,104.4472399,1194.702239,0.461325051,3.49712025,9.251204355,0
36,2020-02-07T00:00:00Z,Athlete AB,641.31,55.62,58.5,6.43,0,71.16,306.61,0.88,4.78,49,2532.575496,32.19757687,189.1064013,7.247443107,32.23536038,93.35149328,898.6714924,0.600883367,3.924746833,22.5008029,0
36,2020-02-06T00:00:00Z,Athlete AB,2306.8,14.1,178.93,8.95,96.06,42.22,649.23,0.34,2.81,4,2457.316997,26.16505124,185.7142675,7.814962072,53.51024025,76.30766218,815.5243283,0.513922245,3.553164556,16.3338686,0
37,2020-02-15T00:00:00Z,Athlete AB,2097.28,15.38,151.23,8.65,64.98,54.21,751.09,0.45,3.58,5.5,2337.304665,22.57003416,174.2195117,8.093308048,57.3334935,68.94177479,794.0462188,0.49261483,3.562109704,12.72257907,0
37,2020-02-11T00:00:00Z,Athlete AB,4166.87,18.4,261.97,7.44,10.8,157.64,1619.3,0.51,3.89,6,2947.159776,21.18002277,203.4696745,7.875538698,41.822329,98.50784986,1069.130813,0.498409887,3.671406469,10.48171938,0
37,2020-02-11T00:00:00Z,Athlete AB,3348.71,15.36,177.32,7.11,2.13,91.55,1142.36,0.42,3.41,7.08,3081.009851,19.24001518,194.7531163,7.620359132,28.59155267,96.18856657,1093.540542,0.472273258,3.584270979,9.347812919,0
37,2020-02-10T00:00:00Z,Athlete AB,3573.5,16.81,290.85,7.78,28.38,114.74,1212.22,0.47,3.39,7.83,3245.173234,18.43001012,226.7854109,7.673572755,28.52103511,102.3723777,1133.100361,0.471515505,3.519513986,8.841875279,0
37,2020-02-11T00:00:00Z,Athlete AB,3348.71,15.36,177.32,7.11,2.13,91.55,1142.36,0.42,3.41,7.08,3279.685489,17.40667341,210.2969406,7.48571517,19.72402341,98.76491848,1136.186907,0.45434367,3.483009324,8.25458352,0
38,2020-02-18T00:00:00Z,Athlete AB,4100.89,14.72,172.09,7.54,12.47,129.87,1459,0.5,3.56,7.67,3553.420326,16.51111561,197.5612937,7.503810113,17.30601561,109.133279,1243.791272,0.469562447,3.508672883,8.059722346,0
38,2020-02-21T00:00:00Z,Athlete AB,4176.16,11.98,135.09,7.58,30.06,52.22,1507.4,0.45,3.61,9.14,3761.000217,15.00074374,176.7375291,7.529206742,21.55734374,90.16218599,1331.660848,0.463041631,3.542448589,8.419814898,0
38,2020-02-23T00:00:00Z,Athlete AB,4288.1,15.95,207.49,7.31,7.21,125.6,1547.83,0.44,3.61,5.8,3936.700145,15.31716249,186.9883528,7.456137828,16.77489582,101.9747907,1403.717232,0.455361087,3.564965726,7.546543265,0
39,2020-02-25T00:00:00Z,Athlete AB,3956.12,16.02,432.21,7.81,117.29,211.27,1552.53,0.43,3.92,10.2,3943.17343,15.55144166,268.7289018,7.574091885,50.27993055,138.4065271,1453.321488,0.446907392,3.683310484,8.431028843,0
39,2020-02-28T00:00:00Z,Athlete AB,2115.98,27.56,429.76,7.26,5.71,150.97,785.65,0.49,3.71,5.58,3334.108953,19.55429444,322.4059346,7.46939459,35.42328703,142.5943514,1230.764325,0.461271594,3.692206989,7.480685896,0
41,2020-03-12T00:00:00Z,Athlete AB,4607.14,17.87,399.13,8.16,90.4,103.11,1453.62,0.41,3.16,6.94,3758.452636,18.99286296,347.980623,7.699596394,53.74885802,129.4329009,1305.04955,0.444181063,3.514804659,7.300457264,0
41,2020-03-09T00:00:00Z,Athlete AB,5680.94,14.57,305.53,7.23,7.11,189.28,2152.38,0.51,3.79,8.6,4399.281757,17.51857531,333.8304154,7.543064262,38.20257201,149.381934,1587.493033,0.466120709,3.60653644,7.733638176,0
41,2020-03-14T00:00:00Z,Athlete AB,5797.01,18.51,293.43,8.27,100.56,103.23,1863.48,0.44,3.21,7.05,4865.191171,17.8490502,320.3636102,7.785376175,58.98838134,133.997956,1679.488689,0.457413806,3.474357626,7.505758784,0
42,2020-03-16T00:00:00Z,Athlete AB,4701.06,15.55,212.11,7.59,16.16,179.53,1758.65,0.49,3.74,7.5,4810.480781,17.08270014,284.2790735,7.720250783,44.71225423,149.175304,1705.875793,0.468275871,3.562905084,7.503839189,0
43,2020-10-08T00:00:00Z,Athlete AB,6384.18,42.36,858.72,7.72,150.48,270.73,1504.98,0.38,2.36,10,5335.047187,25.50846676,475.7593823,7.720167189,79.96816949,189.693536,1638.910528,0.43885058,3.161936723,8.335892793,0
43,2020-10-06T00:00:00Z,Athlete AB,3192.73,0.77,4.47,5.62,0,70.54,1475.75,0.29,4.62,7.35,4620.941458,17.26231117,318.6629216,7.020111459,53.31211299,149.9756907,1584.523686,0.38923372,3.647957815,8.007261862,0
43,2020-10-05T00:00:00Z,Athlete AB,5736.92,51.59,14.44,5.69,0,38.21,1010.45,0.3,1.76,26.29,4992.934305,28.70487411,217.255281,6.576740973,35.54140866,112.7204604,1393.16579,0.359489147,3.018638543,14.10150791,0
